COUNTRY_ID,COUNTRY,YEAR,MONTH,MONTH_NAME,ENERGY_ID,ENERGY_NAME,CONSUMPTION,UNIT_PRICE,YEAR_TO_DATE,PREVIOUS_YEAR_TO_DATE,SHARE,PEAK_TIME,
61,Australia,2010,1,January,2,Hydro,990.728,1,16471.891,,0.047770729,June,
61,Australia,2010,1,January,4,Oil,732.302,9,2447.778,,0.035309995,June,
43,Austria,2010,1,January,1,Coal,693.73,8,6371.891,,0.117552147,March,
43,Austria,2010,1,January,4,Oil,172.672,9,1210.748,,0.029259171,March,
32,Belgium,2010,1,January,2,Hydro,147.41,1,1645.999,,0.017673551,November,
32,Belgium,2010,1,January,1,Coal,568.916,8,5761.981,,0.068209525,November,
32,Belgium,2010,1,January,4,Oil,39.556,9,392.841,,0.004742521,November,
1,Canada,2010,1,January,4,Oil,771.15,9,7792.508,,0.012781854,July,
56,Chile,2010,1,January,4,Oil,382.032,9,8022.08,,0.079916141,July,
56,Chile,2010,1,January,3,Natural gas,645.119,10,10124.676,,0.13495053,July,
420,Czech Republic,2010,1,January,2,Hydro,273.1,1,3366,,0.035157611,February,
420,Czech Republic,2010,1,January,4,Oil,20.072,9,176.959,,0.002583975,February,
420,Czech Republic,2010,1,January,3,Natural gas,115.037,10,1211.156,,0.014809323,February,
45,Denmark,2010,1,January,2,Hydro,2.1,1,21,,0.000518145,July,
45,Denmark,2010,1,January,4,Oil,82.045,9,724.357,,0.020243449,July,
45,Denmark,2010,1,January,3,Natural gas,838.042,10,7398.912,,0.206775073,July,
372,Estonia,2010,1,January,2,Hydro,2.206,1,27,,0.001946303,January,
372,Estonia,2010,1,January,4,Oil,3.612,9,37.01,,0.003186784,January,
372,Estonia,2010,1,January,3,Natural gas,26.694,10,273.512,,0.0235515,January,
358,Finland,2010,1,January,4,Oil,52.924,9,458.405,,0.006375198,September,
33,France,2010,1,January,4,Oil,757.658,9,5208.625,,0.013575488,January,
30,Greece,2010,1,January,2,Hydro,816.693,1,7456.001,,0.163681578,August,
30,Greece,2010,1,January,4,Oil,442.842,9,5574.538,,0.088754376,August,
30,Greece,2010,1,January,3,Natural gas,686.879,10,8999.461,,0.137664262,August,
36,Hungary,2010,1,January,2,Hydro,9.583,1,184,,0.00285035,September,
36,Hungary,2010,1,January,1,Coal,528.51,8,5808.546,,0.15719906,September,
36,Hungary,2010,1,January,4,Oil,37.352,9,448.224,,0.011109911,September,
354,Iceland,2010,1,January,4,Oil,0.167,9,2.004,,0.000114137,January,
353,Ireland,2010,1,January,2,Hydro,134.754,1,768.031,,0.050979882,January,
353,Ireland,2010,1,January,1,Coal,590.749,8,5524.429,,0.223491059,January,
353,Ireland,2010,1,January,4,Oil,146.873,9,581.178,,0.055564719,January,
82,Korea,2010,1,January,2,Hydro,395.799,1,6406.001,,0.008891606,August,
371,Latvia,2010,1,January,2,Hydro,240.207,1,3487.998,,0.357897199,December,
371,Latvia,2010,1,January,1,Coal,0.279,8,1.656,,0.000415697,December,
371,Latvia,2010,1,January,4,Oil,0.279,9,1.656,,0.000415697,December,
371,Latvia,2010,1,January,3,Natural gas,417.04,10,2474.038,,0.621370101,December,
370,Lithuania,2010,1,January,2,Hydro,120.466,1,1274.999,,0.146260147,October,
370,Lithuania,2010,1,January,4,Oil,108.025,9,586.526,,0.131155283,October,
370,Lithuania,2010,1,January,3,Natural gas,531.942,10,2888.214,,0.645841276,October,
352,Luxembourg,2010,1,January,2,Hydro,121.16,1,1457.23,,0.310722437,December,
352,Luxembourg,2010,1,January,4,Oil,0.046,9,0.528,,0.00011797,December,
352,Luxembourg,2010,1,January,3,Natural gas,253.764,10,2897.188,,0.650793732,December,
31,Netherlands,2010,1,January,2,Hydro,11,1,105,,0.000966215,January,
31,Netherlands,2010,1,January,4,Oil,114.204,9,1205.278,,0.010031415,January,
64,New Zealand,2010,1,January,1,Coal,180.99,8,1928.88,,0.053314442,August,
64,New Zealand,2010,1,January,4,Oil,0.027,9,2.042,,7.95E-06,August,
64,New Zealand,2010,1,January,3,Natural gas,570.375,10,9256.436,,0.168016048,August,
47,Norway,2010,1,January,1,Coal,10.893,8,134.777,,0.000739698,December,
47,Norway,2010,1,January,4,Oil,2.501,9,30.949,,0.000169832,December,
47,Norway,2010,1,January,3,Natural gas,392.551,10,4857.005,,0.026656484,December,
48,Poland,2010,1,January,2,Hydro,265.999,1,3460,,0.019729838,January,
48,Poland,2010,1,January,4,Oil,248.867,9,2623.165,,0.018459113,January,
48,Poland,2010,1,January,3,Natural gas,469.753,10,4351.986,,0.034842803,January,
351,Portugal,2010,1,January,1,Coal,425.409,8,6845.719,,0.080797297,December,
351,Portugal,2010,1,January,4,Oil,180.23,9,2900.272,,0.034230815,December,
351,Portugal,2010,1,January,3,Natural gas,892.76,10,14366.372,,0.169560576,December,
90,Republic of Turkey,2010,1,January,4,Oil,169.861,9,2072.51,,0.010092276,June,
421,Slovak Republic,2010,1,January,2,Hydro,368.529,1,5578.003,,0.157073037,September,
421,Slovak Republic,2010,1,January,1,Coal,404.204,8,3775.023,,0.1722783,September,
421,Slovak Republic,2010,1,January,4,Oil,59.442,9,555.15,,0.025335144,September,
421,Slovak Republic,2010,1,January,3,Natural gas,218.547,10,2041.104,,0.093148276,September,
386,Slovenia,2010,1,January,2,Hydro,313.005,1,4635.999,,0.228943396,April,
386,Slovenia,2010,1,January,1,Coal,478.384,8,4689.211,,0.349907693,April,
386,Slovenia,2010,1,January,4,Oil,0.724,9,7.094,,0.00052956,April,
386,Slovenia,2010,1,January,3,Natural gas,49.575,10,485.947,,0.036260983,April,
46,Sweden,2010,1,January,1,Coal,322.39,8,2550.691,,0.02187392,December,
46,Sweden,2010,1,January,4,Oil,213.802,9,1691.563,,0.014506306,December,
46,Sweden,2010,1,January,3,Natural gas,346.735,10,2743.304,,0.02352571,December,
41,Switzerland,2010,1,January,4,Oil,5.843,9,64.265,,0.001055152,January,
41,Switzerland,2010,1,January,3,Natural gas,88.917,10,976.108,,0.016056976,January,
44,United Kingdom,2010,1,January,2,Hydro,625.512,1,6705.002,,0.016676028,December,
44,United Kingdom,2010,1,January,4,Oil,725.352,9,4640.144,,0.019337743,December,
61,Australia,2010,2,February,2,Hydro,983.425,1,16471.891,,0.05138692,June,
61,Australia,2010,2,February,4,Oil,401.521,9,2447.778,,0.020980682,June,
43,Austria,2010,2,February,1,Coal,665.66,8,6371.891,,0.125582081,March,
43,Austria,2010,2,February,4,Oil,183.911,9,1210.748,,0.03469628,March,
32,Belgium,2010,2,February,2,Hydro,149.246,1,1645.999,,0.019301681,November,
32,Belgium,2010,2,February,1,Coal,551.472,8,5761.981,,0.071320749,November,
32,Belgium,2010,2,February,4,Oil,29.616,9,392.841,,0.003830177,November,
1,Canada,2010,2,February,4,Oil,670.294,9,7792.508,,0.012580088,July,1
56,Chile,2010,2,February,4,Oil,884.171,9,8022.08,,0.201133043,July,
56,Chile,2010,2,February,3,Natural gas,384.781,10,10124.676,,0.087530775,July,
420,Czech Republic,2010,2,February,2,Hydro,222.3,1,3366,,0.032111702,February,
420,Czech Republic,2010,2,February,4,Oil,20.367,9,176.959,,0.002942056,February,
420,Czech Republic,2010,2,February,3,Natural gas,107.637,10,1211.156,,0.015548391,February,
45,Denmark,2010,2,February,2,Hydro,1.05,1,21,,0.000277716,July,
45,Denmark,2010,2,February,4,Oil,81.394,9,724.357,,0.021528037,July,
45,Denmark,2010,2,February,3,Natural gas,831.393,10,7398.912,,0.219896547,July,
372,Estonia,2010,2,February,2,Hydro,1.261,1,27,,0.001211384,January,
372,Estonia,2010,2,February,1,Coal,932.995,8,10449.489,,0.896284961,January,
372,Estonia,2010,2,February,4,Oil,3.304,9,37.01,,0.003173999,January,
372,Estonia,2010,2,February,3,Natural gas,24.421,10,273.512,,0.02346012,January,
358,Finland,2010,2,February,2,Hydro,945.368,1,12743,,0.1257358,September,
358,Finland,2010,2,February,4,Oil,50.482,9,458.405,,0.006714205,September,
33,France,2010,2,February,4,Oil,589.881,9,5208.625,,0.011850588,January,
49,Germany,2010,2,February,4,Oil,843.429,9,8109.18,,0.01639304,November,
30,Greece,2010,2,February,2,Hydro,941.434,1,7456.001,,0.225527259,August,
30,Greece,2010,2,February,4,Oil,378.009,9,5574.538,,0.090554764,August,
30,Greece,2010,2,February,3,Natural gas,630.26,10,8999.461,,0.150983298,August,
36,Hungary,2010,2,February,2,Hydro,17.25,1,184,,0.005609977,September,
36,Hungary,2010,2,February,1,Coal,493.895,8,5808.546,,0.160622581,September,
36,Hungary,2010,2,February,4,Oil,37.352,9,448.224,,0.01214747,September,
354,Iceland,2010,2,February,2,Hydro,987.579,1,12509.999,,0.741487466,January,
354,Iceland,2010,2,February,4,Oil,0.167,9,2.004,,0.000125386,January,
353,Ireland,2010,2,February,2,Hydro,91.526,1,768.031,,0.03915787,January,
353,Ireland,2010,2,February,1,Coal,593.278,8,5524.429,,0.253824081,January,
353,Ireland,2010,2,February,4,Oil,55.954,9,581.178,,0.023938984,January,
82,Korea,2010,2,February,2,Hydro,373.04,1,6406.001,,0.009868793,August,
371,Latvia,2010,2,February,2,Hydro,119.102,1,3487.998,,0.242423626,December,
371,Latvia,2010,2,February,1,Coal,0.241,8,1.656,,0.000490538,December,
371,Latvia,2010,2,February,4,Oil,0.241,9,1.656,,0.000490538,December,
371,Latvia,2010,2,February,3,Natural gas,360.637,10,2474.038,,0.73405089,December,
370,Lithuania,2010,2,February,2,Hydro,103.759,1,1274.999,,0.144521408,October,
370,Lithuania,2010,2,February,4,Oil,93.559,9,586.526,,0.13031427,October,
370,Lithuania,2010,2,February,3,Natural gas,460.708,10,2888.214,,0.641700176,October,
352,Luxembourg,2010,2,February,2,Hydro,108.78,1,1457.23,,0.295750523,December,
352,Luxembourg,2010,2,February,4,Oil,0.044,9,0.528,,0.000119627,December,
352,Luxembourg,2010,2,February,3,Natural gas,240.896,10,2897.188,,0.654946848,December,
31,Netherlands,2010,2,February,2,Hydro,9,1,105,,0.00088737,January,
31,Netherlands,2010,2,February,4,Oil,101.934,9,1205.278,,0.010050356,January,
64,New Zealand,2010,2,February,1,Coal,189.655,8,1928.88,,0.05923681,August,
64,New Zealand,2010,2,February,4,Oil,0.805,9,2.042,,0.000251434,August,
64,New Zealand,2010,2,February,3,Natural gas,648.89,10,9256.436,,0.202674191,August,
47,Norway,2010,2,February,1,Coal,11.721,8,134.777,,0.000933369,December,
47,Norway,2010,2,February,4,Oil,2.691,9,30.949,,0.00021429,December,
47,Norway,2010,2,February,3,Natural gas,422.389,10,4857.005,,0.033635779,December,
48,Poland,2010,2,February,2,Hydro,194.732,1,3460,,0.016163712,January,
48,Poland,2010,2,February,4,Oil,222.808,9,2623.165,,0.018494158,January,
48,Poland,2010,2,February,3,Natural gas,390.418,10,4351.986,,0.032406611,January,
351,Portugal,2010,2,February,1,Coal,377.921,8,6845.719,,0.086226912,December,
351,Portugal,2010,2,February,4,Oil,160.111,9,2900.272,,0.036531119,December,
351,Portugal,2010,2,February,3,Natural gas,793.103,10,14366.372,,0.180955338,December,
90,Republic of Turkey,2010,2,February,4,Oil,142.795,9,2072.51,,0.00932801,June,
421,Slovak Republic,2010,2,February,2,Hydro,313.45,1,5578.003,,0.151894526,September,
421,Slovak Republic,2010,2,February,1,Coal,346.379,8,3775.023,,0.167851568,September,
421,Slovak Republic,2010,2,February,4,Oil,50.938,9,555.15,,0.024684011,September,
421,Slovak Republic,2010,2,February,3,Natural gas,187.283,10,2041.104,,0.090755344,September,
386,Slovenia,2010,2,February,2,Hydro,244.6,1,4635.999,,0.20915207,April,
386,Slovenia,2010,2,February,1,Coal,397.777,8,4689.211,,0.340130348,April,
386,Slovenia,2010,2,February,4,Oil,0.602,9,7.094,,0.000514757,April,
386,Slovenia,2010,2,February,3,Natural gas,41.222,10,485.947,,0.035248024,April,
46,Sweden,2010,2,February,1,Coal,295.394,8,2550.691,,0.023244192,December,
46,Sweden,2010,2,February,4,Oil,195.899,9,1691.563,,0.015415052,December,
46,Sweden,2010,2,February,3,Natural gas,317.701,10,2743.304,,0.024999502,December,
41,Switzerland,2010,2,February,4,Oil,5.477,9,64.265,,0.00112216,January,
41,Switzerland,2010,2,February,3,Natural gas,82.989,10,976.108,,0.017003281,January,
44,United Kingdom,2010,2,February,2,Hydro,489.54,1,6705.002,,0.014874427,December,
44,United Kingdom,2010,2,February,4,Oil,519.33,9,4640.144,,0.015779581,December,
61,Australia,2010,3,March,2,Hydro,852.869,1,16471.891,,0.043795954,June,
61,Australia,2010,3,March,4,Oil,87.778,9,2447.778,,0.004507517,June,
43,Austria,2010,3,March,1,Coal,532.328,8,6371.891,,0.095639015,March,
43,Austria,2010,3,March,4,Oil,116.477,9,1210.748,,0.020926469,March,
32,Belgium,2010,3,March,2,Hydro,156.291,1,1645.999,,0.019159439,November,
32,Belgium,2010,3,March,1,Coal,495.123,8,5761.981,,0.06069626,November,
32,Belgium,2010,3,March,4,Oil,29.853,9,392.841,,0.003659627,November,
1,Canada,2010,3,March,4,Oil,664.287,9,7792.508,,0.012610704,July,1
56,Chile,2010,3,March,4,Oil,507.07,9,8022.08,,0.11340461,July,
56,Chile,2010,3,March,3,Natural gas,946.21,10,10124.676,,0.211616888,July,
420,Czech Republic,2010,3,March,2,Hydro,312.1,1,3366,,0.042460419,February,
420,Czech Republic,2010,3,March,4,Oil,12.102,9,176.959,,0.001646447,February,
420,Czech Republic,2010,3,March,3,Natural gas,117.564,10,1211.156,,0.015994286,February,
45,Denmark,2010,3,March,2,Hydro,3.15,1,21,,0.0008242,July,
45,Denmark,2010,3,March,4,Oil,78.389,9,724.357,,0.020510538,July,
45,Denmark,2010,3,March,3,Natural gas,800.705,10,7398.912,,0.209505038,July,
